item,url,Date
Hard-Cooked Egg,"https://udel.campusdish.com/LocationsAndMenus/PencaderDiningHall
",2021-09-07 20:13:53.363903
Old Fashioned Oatmeal,"https://udel.campusdish.com/LocationsAndMenus/PencaderDiningHall
",2021-09-07 20:13:53.363903
Scrambled Eggs,"https://udel.campusdish.com/LocationsAndMenus/PencaderDiningHall
",2021-09-07 20:13:53.363903
French Toast,"https://udel.campusdish.com/LocationsAndMenus/PencaderDiningHall
",2021-09-07 20:13:53.363903
Hash Brown Potato Patty,"https://udel.campusdish.com/LocationsAndMenus/PencaderDiningHall
",2021-09-07 20:13:53.363903
Bacon,"https://udel.campusdish.com/LocationsAndMenus/PencaderDiningHall
",2021-09-07 20:13:53.363903
Incogmeato™ Sausage Patty,"https://udel.campusdish.com/LocationsAndMenus/PencaderDiningHall
",2021-09-07 20:13:53.363903
Turkey Sausage Patty,"https://udel.campusdish.com/LocationsAndMenus/PencaderDiningHall
",2021-09-07 20:13:53.363903
Spinach & Feta Wrap,"https://udel.campusdish.com/LocationsAndMenus/PencaderDiningHall
",2021-09-07 20:13:53.363903
Turkey Bacon & Egg White Muffin,"https://udel.campusdish.com/LocationsAndMenus/PencaderDiningHall
",2021-09-07 20:13:53.363903
Fried Egg,"https://udel.campusdish.com/LocationsAndMenus/PencaderDiningHall
",2021-09-07 20:13:53.363903
"
Create Your Own Breakfast Sandwich	","https://udel.campusdish.com/LocationsAndMenus/PencaderDiningHall
",2021-09-07 20:13:53.363903
Bacon,"https://udel.campusdish.com/LocationsAndMenus/PencaderDiningHall
",2021-09-07 20:13:53.363903
Turkey Bacon,"https://udel.campusdish.com/LocationsAndMenus/PencaderDiningHall
",2021-09-07 20:13:53.363903
Southern Biscuit,"https://udel.campusdish.com/LocationsAndMenus/PencaderDiningHall
",2021-09-07 20:13:53.363903
Bagel,"https://udel.campusdish.com/LocationsAndMenus/PencaderDiningHall
",2021-09-07 20:13:53.363903
English Muffin,"https://udel.campusdish.com/LocationsAndMenus/PencaderDiningHall
",2021-09-07 20:13:53.363903
American Cheese,"https://udel.campusdish.com/LocationsAndMenus/PencaderDiningHall
",2021-09-07 20:13:53.363903
Cheddar Cheese,"https://udel.campusdish.com/LocationsAndMenus/PencaderDiningHall
",2021-09-07 20:13:53.363903
Egg,"https://udel.campusdish.com/LocationsAndMenus/PencaderDiningHall
",2021-09-07 20:13:53.363903
Egg White Patty,"https://udel.campusdish.com/LocationsAndMenus/PencaderDiningHall
",2021-09-07 20:13:53.363903
"
Ham	","https://udel.campusdish.com/LocationsAndMenus/PencaderDiningHall
",2021-09-07 20:13:53.363903
Incogmeato™ Sausage Patty,"https://udel.campusdish.com/LocationsAndMenus/PencaderDiningHall
",2021-09-07 20:13:53.363903
Pork Sausage Patty,"https://udel.campusdish.com/LocationsAndMenus/PencaderDiningHall
",2021-09-07 20:13:53.363903
Swiss Cheese,"https://udel.campusdish.com/LocationsAndMenus/PencaderDiningHall
",2021-09-07 20:13:53.363903
